Area,Date,Assets,,,,,,,,,,,,,
USA,03/20/2019,3962748,,,,,,,,,,,,,
USA,03/27/2019,3955617,,,,,,,,,,,,,
USA,04/03/2019,3935509,,,,,,,,,,,,,
USA,04/10/2019,3936784,,,,,,,,,,,,,
USA,04/17/2019,3931827,,,,,,,,,,,,,
USA,04/24/2019,3928273,,,,,,,,,,,,,
USA,05/01/2019,3889691,,,,,,,,,,,,,
USA,05/08/2019,3892216,,,,,,,,,,,,,
USA,05/15/2019,3864749,,,,,,,,,,,,,
USA,05/22/2019,3860435,,,,,,,,,,,,,
USA,05/29/2019,3851444,,,,,,,,,,,,,
USA,06/05/2019,3847645,,,,,,,,,,,,,
USA,06/12/2019,3849955,,,,,,,,,,,,,
USA,06/19/2019,3844016,,,,,,,,,,,,,
USA,06/26/2019,3826817,,,,,,,,,,,,,
USA,07/03/2019,3813198,,,,,,,,,,,,,
USA,07/10/2019,3815038,,,,,,,,,,,,,
USA,07/17/2019,3808110,,,,,,,,,,,,,
USA,07/24/2019,3803436,,,,,,,,,,,,,
USA,07/31/2019,3779102,,,,,,,,,,,,,
USA,08/07/2019,3781543,,,,,,,,,,,,,
USA,08/14/2019,3786018,,,,,,,,,,,,,
USA,08/21/2019,3764866,,,,,,,,,,,,,
USA,08/28/2019,3759946,,,,,,,,,,,,,
USA,09/04/2019,3761508,,,,,,,,,,,,,
USA,09/11/2019,3769673,,,,,,,,,,,,,
USA,09/18/2019,3844695,,,,,,,,,,,,,
USA,09/25/2019,3857715,,,,,,,,,,,,,
USA,10/02/2019,3945831,,,,,,,,,,,,,
USA,10/09/2019,3949955,,,,,,,,,,,,,
USA,10/16/2019,3966471,,,,,,,,,,,,,
USA,10/23/2019,3968700,,,,,,,,,,,,,
USA,10/30/2019,4019823,,,,,,,,,,,,,
USA,11/06/2019,4039443,,,,,,,,,,,,,
USA,11/13/2019,4047882,,,,,,,,,,,,,
USA,11/20/2019,4030249,,,,,,,,,,,,,
USA,11/27/2019,4052875,,,,,,,,,,,,,
USA,12/04/2019,4065696,,,,,,,,,,,,,
USA,12/11/2019,4095491,,,,,,,,,,,,,
USA,12/18/2019,4137052,,,,,,,,,,,,,
USA,12/25/2019,4165591,,,,,,,,,,,,,
USA,01/01/2020,4173626,,,,,,,,,,,,,
USA,01/08/2020,4149544,,,,,,,,,,,,,
USA,01/15/2020,4175850,,,,,,,,,,,,,
USA,01/22/2020,4145912,,,,,,,,,,,,,
USA,01/29/2020,4151630,,,,,,,,,,,,,
USA,02/05/2020,4166707,,,,,,,,,,,,,
USA,02/12/2020,4182689,,,,,,,,,,,,,
USA,02/19/2020,4171570,,,,,,,,,,,,,
USA,02/16/2020,4158637,,,,,,,,,,,,,
USA,03/04/2020,4241507,,,,,,,,,,,,,
USA,03/11/2020,4311911,,,,,,,,,,,,,
USA,03/18/2020,4668212,,,,,,,,,,,,,
USA,03/25/2020,5254278,,,,,,,,,,,,,
USA,04/01/2020,5811607,,,,,,,,,,,,,
USA,04/08/2020,6083141,,,,,,,,,,,,,
USA,04/15/2020,6367887,,,,,,,,,,,,,
USA,04/22/2020,6573136,,,,,,,,,,,,,
USA,04/29/2020,6655929,,,,,,,,,,,,,
USA,05/06/2020,6721420,,,,,,,,,,,,,
USA,05/13/2020,6934227,,,,,,,,,,,,,
USA,05/20/2020,7037258,,,,,,,,,,,,,
USA,05/27/2020,7097316,,,,,,,,,,,,,
USA,06/03/2020,7165217,,,,,,,,,,,,,
USA,06/10/2020,7168936,,,,,,,,,,,,,
USA,06/17/2020,7094690,,,,,,,,,,,,,
USA,06/24/2020,7082302,,,,,,,,,,,,,
USA,07/01/2020,7009040,,,,,,,,,,,,,
USA,07/08/2020,6920716,,,,,,,,,,,,,
USA,07/15/2020,6958604,,,,,,,,,,,,,
USA,07/22/2020,6964755,,,,,,,,,,,,,
USA,07/29/2020,6949032,,,,,,,,,,,,,
USA,08/05/2020,6945237,,,,,,,,,,,,,
USA,08/12/2020,6957277,,,,,,,,,,,,,
USA,08/19/2020,7010637,,,,,,,,,,,,,
USA,08/26/2020,6990418,,,,,,,,,,,,,
USA,09/02/2020,7017492,,,,,,,,,,,,,
USA,09/09/2020,7010614,,,,,,,,,,,,,
USA,09/16/2020,7064475,,,,,,,,,,,,,
