Area,Date,Assets,,,,,,,,
USA,17/08/2018,4228924,,,,,,,,
USA,24/08/2018,4228818,,,,,,,,
USA,31/08/2018,4218914,,,,,,,,
USA,09/07/2018,4208496,,,,,,,,
USA,14/09/2018,4210812,,,,,,,,
USA,21/09/2018,4208059,,,,,,,,
USA,28/09/2018,4192909,,,,,,,,
USA,10/05/2018,4174704,,,,,,,,
USA,10/12/2018,4176906,,,,,,,,
USA,19/10/2018,4175446,,,,,,,,
USA,26/10/2018,4173070,,,,,,,,
USA,11/02/2018,4139731,,,,,,,,
USA,11/09/2018,4141936,,,,,,,,
USA,16/11/2018,4145892,,,,,,,,
USA,23/11/2018,4106198,,,,,,,,
USA,30/11/2018,4097170,,,,,,,,
USA,12/07/2018,4086044,,,,,,,,
USA,14/12/2018,4088314,,,,,,,,
USA,21/12/2018,4084274,,,,,,,,
USA,28/12/2018,4075636,,,,,,,,
USA,01/04/2019,4058378,,,,,,,,
USA,01/11/2019,4056563,,,,,,,,
USA,18/01/2019,4050044,,,,,,,,
USA,25/01/2019,4047052,,,,,,,,
USA,02/01/2019,4039678,,,,,,,,
USA,02/08/2019,4026350,,,,,,,,
USA,15/02/2019,4028431,,,,,,,,
USA,22/02/2019,3981420,,,,,,,,
USA,03/01/2019,3974590,,,,,,,,
USA,03/08/2019,3969134,,,,,,,,
USA,15/03/2019,3971559,,,,,,,,
USA,22/03/2019,3962748,,,,,,,,
USA,29/03/2019,3955617,,,,,,,,
USA,04/05/2019,3935509,,,,,,,,
USA,04/12/2019,3936784,,,,,,,,
USA,19/04/2019,3931827,,,,,,,,
USA,26/04/2019,3928273,,,,,,,,
USA,05/03/2019,3889691,,,,,,,,
USA,05/10/2019,3892216,,,,,,,,
USA,17/05/2019,3864749,,,,,,,,
USA,24/05/2019,3860435,,,,,,,,
USA,31/05/2019,3851444,,,,,,,,
USA,06/07/2019,3847645,,,,,,,,
USA,14/06/2019,3849955,,,,,,,,
USA,21/06/2019,3844016,,,,,,,,
USA,28/06/2019,3826817,,,,,,,,
USA,07/05/2019,3813198,,,,,,,,
USA,07/12/2019,3815038,,,,,,,,
USA,19/07/2019,3808110,,,,,,,,
USA,26/07/2019,3803436,,,,,,,,
USA,08/02/2019,3779102,,,,,,,,
